nombre,edad,emg1,emg2,emg3,labels
Francisco,,150.0,111.0,128.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,84.0,180.0,Esférico
Francisco,,150.0,65.0,180.0,Esférico
Francisco,,150.0,65.0,180.0,Esférico
Francisco,,150.0,65.0,435.0,Esférico
Francisco,,150.0,65.0,435.0,Esférico
Francisco,,150.0,65.0,435.0,Esférico
Francisco,,339.0,65.0,435.0,Esférico
Francisco,,339.0,65.0,435.0,Esférico
Francisco,,339.0,65.0,435.0,Esférico
Francisco,,339.0,79.0,321.0,Esférico
Francisco,,339.0,79.0,234.0,Esférico
Francisco,,339.0,79.0,234.0,Esférico
Francisco,,339.0,79.0,234.0,Esférico
Francisco,,339.0,79.0,123.0,Esférico
Francisco,,339.0,79.0,123.0,Esférico
Francisco,,339.0,74.0,123.0,Esférico
Francisco,,339.0,74.0,123.0,Esférico
Francisco,,339.0,58.0,123.0,Esférico
Francisco,,339.0,58.0,123.0,Esférico
Francisco,,339.0,58.0,123.0,Esférico
Francisco,,339.0,58.0,269.0,Esférico
Francisco,,339.0,58.0,178.0,Esférico
Francisco,,339.0,58.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,166.0,Esférico
Francisco,,339.0,201.0,336.0,Esférico
Francisco,,339.0,201.0,336.0,Esférico
Francisco,,339.0,201.0,336.0,Esférico
Francisco,,339.0,201.0,120.0,Esférico
Francisco,,339.0,201.0,226.0,Esférico
Francisco,,339.0,201.0,226.0,Esférico
Francisco,,339.0,201.0,272.0,Esférico
Francisco,,339.0,201.0,381.0,Esférico
Francisco,,339.0,201.0,381.0,Esférico
Francisco,,339.0,108.0,153.0,Esférico
Francisco,,339.0,108.0,153.0,Esférico
Francisco,,339.0,63.0,164.0,Esférico
Francisco,,339.0,63.0,164.0,Esférico
Francisco,,339.0,94.0,164.0,Esférico
Francisco,,339.0,94.0,164.0,Esférico
Francisco,,339.0,94.0,164.0,Esférico
Francisco,,339.0,94.0,292.0,Esférico
Francisco,,339.0,94.0,292.0,Esférico
Francisco,,339.0,94.0,190.0,Esférico
Francisco,,339.0,94.0,190.0,Esférico
Francisco,,339.0,94.0,216.0,Esférico
Francisco,,339.0,94.0,216.0,Esférico
Francisco,,339.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,216.0,Esférico
Francisco,,261.0,94.0,312.0,Esférico
Francisco,,261.0,94.0,394.0,Esférico
Francisco,,261.0,94.0,210.0,Esférico
Francisco,,261.0,94.0,210.0,Esférico
Francisco,,261.0,94.0,185.0,Esférico
Francisco,,261.0,94.0,351.0,Esférico
