nombre,edad,emg1,emg2,emg3,labels
Kevin Fernandez,,368.0,117.0,185.0,Esférico
Kevin Fernandez,,368.0,117.0,185.0,Esférico
Kevin Fernandez,,368.0,117.0,185.0,Esférico
Kevin Fernandez,,368.0,151.0,185.0,Esférico
Kevin Fernandez,,257.0,151.0,71.0,Esférico
Kevin Fernandez,,257.0,151.0,71.0,Esférico
Kevin Fernandez,,248.0,151.0,71.0,Esférico
Kevin Fernandez,,248.0,151.0,71.0,Esférico
Kevin Fernandez,,248.0,151.0,71.0,Esférico
Kevin Fernandez,,248.0,151.0,71.0,Esférico
Kevin Fernandez,,248.0,151.0,93.0,Esférico
Kevin Fernandez,,248.0,151.0,93.0,Esférico
Kevin Fernandez,,248.0,151.0,93.0,Esférico
Kevin Fernandez,,248.0,151.0,93.0,Esférico
Kevin Fernandez,,248.0,151.0,93.0,Esférico
Kevin Fernandez,,248.0,151.0,110.0,Esférico
Kevin Fernandez,,248.0,151.0,69.0,Esférico
Kevin Fernandez,,248.0,151.0,69.0,Esférico
Kevin Fernandez,,248.0,151.0,69.0,Esférico
Kevin Fernandez,,248.0,151.0,69.0,Esférico
Kevin Fernandez,,248.0,151.0,147.0,Esférico
Kevin Fernandez,,248.0,151.0,115.0,Esférico
Kevin Fernandez,,323.0,132.0,115.0,Esférico
Kevin Fernandez,,211.0,132.0,115.0,Esférico
Kevin Fernandez,,211.0,132.0,115.0,Esférico
Kevin Fernandez,,211.0,132.0,115.0,Esférico
Kevin Fernandez,,211.0,170.0,115.0,Esférico
Kevin Fernandez,,211.0,135.0,115.0,Esférico
Kevin Fernandez,,211.0,135.0,115.0,Esférico
Kevin Fernandez,,211.0,135.0,115.0,Esférico
Kevin Fernandez,,211.0,289.0,115.0,Esférico
Kevin Fernandez,,211.0,165.0,115.0,Esférico
Kevin Fernandez,,211.0,165.0,115.0,Esférico
Kevin Fernandez,,211.0,165.0,115.0,Esférico
Kevin Fernandez,,211.0,165.0,115.0,Esférico
Kevin Fernandez,,211.0,242.0,115.0,Esférico
Kevin Fernandez,,211.0,242.0,115.0,Esférico
Kevin Fernandez,,111.0,86.0,115.0,Esférico
Kevin Fernandez,,111.0,230.0,115.0,Esférico
Kevin Fernandez,,111.0,64.0,115.0,Esférico
Kevin Fernandez,,111.0,171.0,115.0,Esférico
Kevin Fernandez,,332.0,171.0,115.0,Esférico
Kevin Fernandez,,408.0,171.0,115.0,Esférico
Kevin Fernandez,,408.0,171.0,115.0,Esférico
Kevin Fernandez,,365.0,171.0,115.0,Esférico
Kevin Fernandez,,365.0,171.0,115.0,Esférico
Kevin Fernandez,,365.0,160.0,115.0,Esférico
Kevin Fernandez,,365.0,160.0,115.0,Esférico
Kevin Fernandez,,365.0,160.0,102.0,Esférico
Kevin Fernandez,,365.0,160.0,102.0,Esférico
Kevin Fernandez,,365.0,160.0,102.0,Esférico
Kevin Fernandez,,144.0,,,Esférico
Kevin Fernandez,,144.0,160.0,126.0,Esférico
Kevin Fernandez,,241.0,160.0,89.0,Esférico
Kevin Fernandez,,241.0,160.0,89.0,Esférico
Kevin Fernandez,,241.0,125.0,89.0,Esférico
Kevin Fernandez,,241.0,125.0,89.0,Esférico
Kevin Fernandez,,241.0,125.0,89.0,Esférico
Kevin Fernandez,,176.0,125.0,89.0,Esférico
Kevin Fernandez,,52.0,125.0,89.0,Esférico
Kevin Fernandez,,52.0,125.0,89.0,Esférico
Kevin Fernandez,,52.0,125.0,89.0,Esférico
Kevin Fernandez,,148.0,125.0,89.0,Esférico
Kevin Fernandez,,148.0,125.0,77.0,Esférico
Kevin Fernandez,,190.0,125.0,77.0,Esférico
Kevin Fernandez,,190.0,125.0,77.0,Esférico
Kevin Fernandez,,190.0,125.0,104.0,Esférico
Kevin Fernandez,,190.0,125.0,104.0,Esférico
