nombre,edad,emg1,emg2,emg3,labels
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,1.0,281.0,409.0,Esférico
Kevin,,5661.0,281.0,409.0,Esférico
Kevin,,561.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,5528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,281.0,409.0,Esférico
Kevin,,528.0,741.0,409.0,Esférico
Kevin,,528.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,0.0,741.0,409.0,Esférico
Kevin,,23030.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,241.0,409.0,,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,741.0,409.0,Esférico
Kevin,,230.0,1086.0,409.0,Esférico
Kevin,,230.0,389.0,409.0,Esférico
Kevin,,230.0,389.0,409.0,Esférico
Kevin,,2.0,,,Esférico
Kevin,,230.0,389.0,409.0,Esférico
Kevin,,230.0,389.0,409.0,Esférico
Kevin,,230.0,389.0,409.0,Esférico
Kevin,,230.0,405.0,409.0,Esférico
Kevin,,230.0,405.0,409.0,Esférico
Kevin,,230.0,390.0,409.0,Esférico
Kevin,,619.0,390.0,409.0,Esférico
Kevin,,619.0,390.0,409.0,Esférico
Kevin,,619.0,390.0,409.0,Esférico
Kevin,,619.0,706.0,409.0,Esférico
Kevin,,619.0,706.0,409.0,Esférico
Kevin,,2.0,409.0,,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,619.0,706.0,167.0,Esférico
Kevin,,667.0,,,Esférico
Kevin,,619.0,686.0,167.0,Esférico
Kevin,,619.0,243.0,167.0,Esférico
Kevin,,619.0,243.0,167.0,Esférico
Kevin,,619.0,758.0,167.0,Esférico
Kevin,,619.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,440.0,758.0,167.0,Esférico
Kevin,,521.0,758.0,167.0,Esférico
